game,achievement,description,achieved,unlocktime
We Were Here,Grandmaster,Assisted in escaping the Frozen Courtyard ..and learned some new tricks,True,2020-07-10 22:15:23
We Were Here,Is that another..,Escape from the Dark Hallway,False,null
We Were Here,South Pole,Assisted in escaping the Dark Hallway ..and learned about cardinal directions,True,2020-07-10 22:30:06
We Were Here,"Lights, camera..",Assisted in escaping the Haunted Theater,False,null
We Were Here,Don’t Turn Around,Escaped the Haunted Theater,False,null
We Were Here,Why me?,no description available,False,null
We Were Here,Worst Friend Forever,no description available,False,null
We Were Here,Die Hard,Play through the whole game without dying once,False,null
We Were Here,Happy Ending,no description available,False,null
We Were Here,Eye See You,Perfect play  ‘Between the eyes’ ,True,2020-07-09 22:30:47
We Were Here,Myth Busters,Perfect play ‘Painting Room’,True,2020-07-09 22:36:19
We Were Here,What ‘r you doing?,Perfect play ‘Submerged Hallway’,True,2020-07-09 22:42:54
We Were Here,Dungeon Master,Perfect play ‘The Dungeon’,True,2020-07-09 23:08:24
We Were Here,Fools’ Mate,Perfect play ‘Chess’,True,2020-07-10 22:15:24
We Were Here,Vlad The Impaler,Perfect play ‘Spike Hall’,False,null
We Were Here,Killer Performance,Perfect play ‘Haunted Theater’,False,null
We Were Here Together,We're in this Together!,no description available,False,null
We Were Here Together,The Signal,no description available,True,2021-07-19 00:41:14
We Were Here Together,Up Down Up Down,no description available,True,2021-07-19 10:51:21
We Were Here Together,Iceolated,no description available,True,2021-07-19 11:12:04
We Were Here Together,Abridged Adventure,no description available,True,2021-07-19 12:11:19
We Were Here Together,The Tower,no description available,False,null
We Were Here Together,The Cathedral,no description available,True,2021-07-19 16:46:10
We Were Here Together,Energize,no description available,False,null
We Were Here Together,Shock Therapy,no description available,False,null
We Were Here Together,Chromatic Apparatus,no description available,False,null
We Were Here Together,Buoyfriends,no description available,False,null
We Were Here Together,Water you waiting for,no description available,False,null
We Were Here Together,Growing Pains,no description available,False,null
We Were Here Together,Recipe for Disasters,no description available,False,null
We Were Here Together,Minor Illusion,no description available,False,null
We Were Here Together,Reflection,no description available,False,null
We Were Here Together,Equivalent Exchange,no description available,False,null
We Were Here Together,Mixed Feelings,no description available,False,null
We Were Here Together,Grand Orders,no description available,False,null
We Were Here Together,Cardinal Correction,no description available,False,null
We Were Here Together,We Were Here,no description available,False,null
We Were Here Together,Together,no description available,False,null
Aimlabs,Founder,Aim Lab Founder,True,2020-08-08 23:29:56
Aimlabs,Early Access User,Aim Lab Early Access User,True,2020-08-08 23:29:56
Aimlabs,Spidershot Noob,Played Spidershot 1 Time,False,null
Aimlabs,Spidershot Rookie,Played Spidershot 5 Times,False,null
Aimlabs,Spidershot Competent,Played Spidershot 15 Times,False,null
Aimlabs,Spidershot Pro,Played Spidershot 30 Times,False,null
Aimlabs,Spidershot Expert,Played Spidershot 50 Times,False,null
Aimlabs,Spidershot Master,Played Spidershot 75 Times,False,null
Aimlabs,Spidershot Legend,Played Spidershot 100 Times,False,null
Aimlabs,Reflexshot Noob,Played Reflexshot 1 Time,False,null
Aimlabs,Reflexshot Rookie,Played Reflexshot 5 Times,False,null
Aimlabs,Reflexshot Competent,Played Reflexshot 15 Times,False,null
Aimlabs,Reflexshot Pro,Played Reflexshot 30 Times,False,null
Aimlabs,Reflexshot Expert,Played Reflexshot 50 Times,False,null
Aimlabs,Reflexshot Master,Played Reflexshot 75 Times,False,null
Aimlabs,Reflexshot Legend,Played Reflexshot 100 Times,False,null
Aimlabs,Strafeshot Noob,Played Strafeshot 1 Time,False,null
Aimlabs,Strafeshot Rookie,Played Strafeshot 5 Times,False,null
Aimlabs,Strafeshot Competent,Played Strafeshot 15 Times,False,null
Aimlabs,Strafeshot Pro,Played Strafeshot 30 Times,False,null
Aimlabs,Strafeshot Expert,Played Strafeshot 50 Times,False,null
Aimlabs,Strafeshot Master,Played Strafeshot 75 Times,False,null
Aimlabs,Strafeshot Legend,Played Strafeshot 100 Times,False,null
Aimlabs,Pentakill Noob,Played Pentakill 1 Time,False,null
Aimlabs,Pentakill Rookie,Played Pentakill 5 Times,False,null
Aimlabs,Pentakill Competent,Played Pentakill 15 TImes,False,null
Aimlabs,Pentakill Pro,Played Pentakill 30 Times,False,null
Aimlabs,Pentakill Expert,Played Pentakill 50 Times,False,null
Aimlabs,Pentakill Master,Played Pentakill 75 Times,False,null
Aimlabs,Pentakill Legend,Played Pentakill 100 Times,False,null
Aimlabs,Strafetrack Noob,Played Strafetrack 1 Time,False,null
Aimlabs,Strafetrack Rookie,Played Strafetrack 5 Times,False,null
Aimlabs,Strafetrack Competent,Played Strafetrack 15 Times,False,null
Aimlabs,Strafetrack Pro,Played Strafetrack 30 Times,False,null
Aimlabs,Strafetrack Expert,Played Strafetrack 50 Times,False,null
Aimlabs,Strafetrack Master,Played Strafetrack 75 Times,False,null
Aimlabs,Strafetrack Legend,Played Strafetrack 100 Times,False,null
Aimlabs,Circletrack Noob,Played Circletrack 1 Time,False,null
Aimlabs,Circletrack Rookie,Played Circletrack 5 Times,False,null
Aimlabs,Circletrack Competent,Played Circletrack 15 Times,False,null
Aimlabs,Circletrack Pro,Played Circletrack 30 Times,False,null
Aimlabs,Circletrack Expert,Played Circletrack 50 Times,False,null
Aimlabs,Circletrack Master,Played Circletrack 75 Times,False,null
Aimlabs,Circletrack Legend,Played Circletrack 100 Times,False,null
Aimlabs,Blinkshot Noob,Played Blinkshot 1 Time,False,null
Aimlabs,Blinkshot Rookie,Played Blinkshot 5 Times,False,null
Aimlabs,Blinkshot Competent,Played Blinkshot 15 Times,False,null
Aimlabs,Blinkshot Pro,Played Blinkshot 30 TImes,False,null
Aimlabs,Blinkshot Expert,Played Blinkshot 50 Times,False,null
Aimlabs,Blinkshot Master,Played Blinkshot 75 Times,False,null
Aimlabs,Blinkshot Legend,Played Blinkshot 100 Times,False,null
Aimlabs,Ninjashot Noob,Played Ninjashot 1 Time,False,null
Aimlabs,Ninjashot Rookie,Played Ninjashot 5 Times,False,null
Aimlabs,Ninjashot Competent,Played Ninjashot 15 Times,False,null
Aimlabs,Ninjashot Pro,Played Ninjashot 30 Times,False,null
Aimlabs,Ninjashot Expert,Played Ninjashot 50 Times,False,null
Aimlabs,Ninjashot Master,Played Ninjashot 75 Times,False,null
Aimlabs,Ninjashot Legend,Played Ninjashot 100 Times,False,null
Aimlabs,Detection Noob,Played Detection 1 Time,False,null
Aimlabs,Detection Rookie,Played Detection 5 Times,False,null
Aimlabs,Detection Competent,Played Detection 15 Times,False,null
Aimlabs,Detection Pro,Played Detection 30 Times,False,null
Aimlabs,Detection Expert,Played Detection 50 Times,False,null
Aimlabs,Detection Master,Played Detection 75 Times,False,null
Aimlabs,Detection Legend,Played Detection 100 Times,False,null
Aimlabs,Microshot Noob,Played Microshot 1 Time,False,null
Aimlabs,Microshot Rookie,Played Microshot 5 Times,False,null
Aimlabs,Microshot Competent,Played Microshot 15 Time,False,null
Aimlabs,Microshot Pro,Played Microshot 30 Times,False,null
Aimlabs,Microshot Expert,Played Microshot 50 Times,False,null
Aimlabs,Microshot Master,Played Microshot 75 Times,False,null
Aimlabs,Microshot Legend,Played Microshot 100 Times,False,null
Aimlabs,Freetrack Noob,Played Freetrack 1 Time,False,null
Aimlabs,Freetrack Rookie,Played Freetrack 5 Times,False,null
Aimlabs,Freetrack Competent,Played Freetrack 15 Times,False,null
Aimlabs,Freetrack Pro,Played Freetrack 30 Times,False,null
Aimlabs,Freetrack Expert,Played Freetrack 50 Times,False,null
Aimlabs,Freetrack Master,Played Freetrack 75 Times,False,null
Aimlabs,Freetrack Legend,Played Freetrack 100 Times,False,null
Aimlabs,Audiospatial Noob,Played Audiospatial 1 Time,False,null
Aimlabs,Audiospatial Rookie,Played Audiospatial 5 Times,False,null
Aimlabs,Audiospatial Comptent,Played Audiospatial 15 Times,False,null
Aimlabs,Audiospatial Pro,Played Audiospatial 30 Times,False,null
Aimlabs,Audiospatial Expert,Played Audiospatial 50 Times,False,null
Aimlabs,Audiospatial Master,Played Audiospatial 75 Times,False,null
Aimlabs,Audiospatial Legend,Played Audiospatial 100 Times,False,null
Aimlabs,Capacity Noob,Played Capacity 1 Time,False,null
Aimlabs,Capacity Rookie,Played Capacity 5 Times,False,null
Aimlabs,Capacity Competent,Played Capacity 15 Times,False,null
Aimlabs,Capacity Pro,Played Capacity 30 Times,False,null
Aimlabs,Capacity Expert,Played Capacity 50 Times,False,null
Aimlabs,Capacity Master,Played Capacity 75 Times,False,null
Aimlabs,Capacity Legend,Played Capacity 100 Times,False,null
Aimlabs,Decisionshot Noob,Played Decisionshot 1 Time,False,null
Aimlabs,Decisionshot Rookie,Played Decisionshot 5 Times,False,null
Aimlabs,Decisionshot Competent,Played Decisionshot 15 Times,False,null
Aimlabs,Decisionshot Pro,Played Decisionshot 30 Times,False,null
Aimlabs,Decisionshot Expert,Played Decisionshot 50 Times,False,null
Aimlabs,Decisionshot Master,Played Decisionshot 75 Times,False,null
Aimlabs,Decisionshot Legend,Played Decisionshot 100 Times,False,null
Bloons TD 6,Impoppable,"Pop 100,000,000 bloons",False,null
Bloons TD 6,MOAB Assassin,"Destroy 25,000 MOABs",True,2020-12-31 16:25:44
Bloons TD 6,BFB Brawler,"Destroy 10,000 BFBs",True,2020-12-31 17:53:15
Bloons TD 6,ZOMGinator,"Destroy 5,000 ZOMGs",True,2023-07-19 16:29:13
Bloons TD 6,Me Did A Job On DDT,"Destroy 5,000 DDTs",True,2021-01-05 01:24:46
Bloons TD 6,Sapper,"Pop 5,000,000 Fortified bloons",False,null
Bloons TD 6,First Win,1 Non-Tutorial Beginner map Win,True,2020-12-31 16:25:43
Bloons TD 6,Grasshopper,Wins on 9 different Beginner maps,True,2020-12-31 16:25:44
Bloons TD 6,Next Level,Win 1 game on an Intermediate map ,True,2020-12-31 16:25:43
Bloons TD 6,Acolyte,Win games on 5 different Intermediate maps,True,2020-12-31 16:25:44
Bloons TD 6,Advanced Player,Win 1 game on an Advanced map ,True,2020-12-31 16:25:44
Bloons TD 6,Big Monkey,Deploy a tier 4 monkey tower,True,2020-12-31 16:25:43
Bloons TD 6,Mega Monkey,Deploy a tier 5 monkey tower,True,2020-12-31 16:25:44
Bloons TD 6,Hero Time,Deploy a Hero on a non-tutorial map,True,2020-12-31 16:25:43
Bloons TD 6,Hero Powers Activate,Use any Hero Level 3 Ability,True,2020-12-31 16:25:43
Bloons TD 6,"Bigger, Badder",Use any Hero Level 10 Ability,True,2020-12-31 16:25:44
Bloons TD 6,Epic Hero,Level any Hero to level 20,True,2020-12-31 16:25:44
Bloons TD 6,Monkey Avenger League,Win a game for 4 different Heroes,True,2020-12-31 16:25:44
Bloons TD 6,You've Got The Power,Use Powers for the first time,True,2020-12-31 16:25:44
Bloons TD 6,Power User,Use Powers 25 times,True,2020-12-31 16:25:44
Bloons TD 6,Empowered,Use Powers 100 times,False,null
Bloons TD 6,Student,Apply your first Monkey Knowledge point,True,2020-12-31 16:25:43
Bloons TD 6,Scholar,Apply 10 Monkey Knowledge points,True,2020-12-31 16:25:44
Bloons TD 6,Knowledgeable Primate,Unlock all Monkey Knowledge in one branch,True,2021-07-21 15:28:27
Bloons TD 6,Dr. Monkey,Spend 106 Monkey Knowledge points,False,null
Bloons TD 6,First Monkeys First,Win 10 games using only Primary monkeys,False,null
Bloons TD 6,War Monkeys,Win 10 games using only Military monkeys,False,null
Bloons TD 6,Abracadabmonkey,Win 10 games using only Magic monkeys,False,null
Bloons TD 6,Unsung Monkeys,Win 10 games using only Support monkeys,False,null
Bloons TD 6,Inflated,Beat round 100 in Deflation mode,False,null
Bloons TD 6,Survivor,Beat round 100 in Apopalypse mode,False,null
Bloons TD 6,Indie,Win 25 games with Alternate Bloon Rounds,False,null
Bloons TD 6,Poppable,Win 25 games on Impoppable Difficulty,False,null
Bloons TD 6,Thrifty,Win 10 games in Half Cash mode,False,null
Bloons TD 6,Bloonzilla!,Win 25 games against Double HP MOABs,False,null
Bloons TD 6,Role Reverser,Win a game in Reverse mode,True,2020-12-31 16:25:43
Bloons TD 6,Medal Winner,Get all medals for a map,True,2020-12-31 16:25:44
Bloons TD 6,Decorated Hero,Get 36 medals on Beginner maps,True,2021-01-01 20:19:03
Bloons TD 6,Red And Blue Makes...,"Pop 100,000 Purple bloons",True,2021-01-04 22:08:24
Bloons TD 6,Infrared,"Pop 250,000 Camo bloons",True,2020-12-31 16:25:44
Bloons TD 6,Our Powers Combined,Collect at least 12 different Powers,True,2020-12-31 16:25:44
Bloons TD 6,Challenger,Win 1 Daily Challenge,True,2020-12-31 16:25:43
Bloons TD 6,Challenge Apprentice,Win 10 Daily Challenges,True,2020-12-31 16:25:44
Bloons TD 6,Challenge Master,Win 100 Daily Challenges,False,null
Bloons TD 6,Perfect Week,Complete all Daily Challenges in a week,False,null
Bloons TD 6,Bloons Master,Beat 1 map in CHIMPS mode,True,2021-01-11 23:36:57
Bloons TD 6,Superior Bloons Master,Beat 5 maps in CHIMPS mode,False,null
Bloons TD 6,Ultimate Bloons Master,Beat 15 maps in CHIMPS mode,False,null
Bloons TD 6,Super BAD,"Destroy 1,000 BADs",False,null
Bloons TD 6,Co-operation,Beat 1 map in Co-op mode,True,2020-12-31 16:25:44
Bloons TD 6,Four times the fun,Beat 1 map in 4-player Co-op mode,True,2020-12-31 16:25:44
Bloons TD 6,Triple threat,Beat 1 map in 3-player Co-op mode,True,2020-12-31 16:25:44
Bloons TD 6,Collaborate!,Have 4 Heroes on screen at once,True,2020-12-31 16:25:44
Bloons TD 6,When the going gets tough...,Win 10 games on Hard difficulty in Co-op mode,True,2021-01-01 22:27:25
Bloons TD 6,Kind Benefactor,"Give 10,000 Cash in Co-op mode",True,2020-12-31 16:25:44
Bloons TD 6,Generous Benefactor,"Give 50,000 Cash in Co-op mode",True,2021-01-01 20:19:03
Bloons TD 6,Monkey Contributor,"Give 100,000 Cash in Co-op mode",True,2021-01-01 20:19:03
Bloons TD 6,Monkey Philanthropist,"Give 1,000,000 Cash in Co-op mode",True,2021-01-01 22:27:27
Bloons TD 6,Powershare,Use 10 Powers in Co-op mode,True,2023-07-20 15:22:19
Bloons TD 6,Power overwhelming!,Use 100 Powers in Co-op mode,False,null
Bloons TD 6,Insta-defense,Use 5 Insta-Monkeys in Co-op mode,False,null
Bloons TD 6,Co-op Popper,"Pop 10,000,000 Bloons in Co-op mode",True,2023-07-20 15:22:21
Bloons TD 6,Big Bloons,no description available,True,2021-01-08 16:11:52
Bloons TD 6,Alchermistman and Bloonacleboy,no description available,False,null
Bloons TD 6,2TC,Complete a game in CHIMPS Difficulty with only 2 towers,False,null
Bloons TD 6,Snap of your fingers,Finish a game with exactly half your starting lives and half your starting cash,False,null
Bloons TD 6,Bill Greates,"Send $500,000 to an ally in co-op in one go",True,2021-01-01 22:27:31
Bloons TD 6,Bloontona 500,Gain entry to 500 Races,False,null
Bloons TD 6,Rookie of the year,Complete a Race in under 10 minutes,False,null
Bloons TD 6,Rising star,Complete a Race in under 5 minutes,False,null
Bloons TD 6,Top of your game,Complete any Race in under 3 minutes,False,null
Bloons TD 6,The greatest challenge,Create or Play 200 Challenges,False,null
Bloons TD 6,Lookin fab,Win 100 games using a skin of any Hero,False,null
Bloons TD 6,Therpopylae,"Pop 200,000 Bloons on Peninsula",True,2021-01-08 16:11:52
Bloons TD 6,Bloon Master Populous,Deal 1 billion damage with the Bloon Master Alchemist,False,null
Bloons TD 6,I see you,"Reveal 10,000 Bloons using Shimmer",True,2021-01-01 22:26:54
Bloons TD 6,Tetrimino,Place 50 Monkeys on a map at once,True,2020-12-31 16:25:44
Bloons TD 6,All for one and one for one,Win a game with only 1 Monkey on screen at any one time in any Hard Difficulty game,True,2021-01-08 16:11:52
Bloons TD 6,Master of Life,Have 1000 lives at once in a single game,True,2021-11-17 21:25:35
Bloons TD 6,Rainbow is Magic,"Pop 20,000 Rainbow Bloons with Magic Monkeys",True,2021-01-02 15:32:30
Bloons TD 6,Strangely Adorable,no description available,False,null
Bloons TD 6,Josh's Constant,no description available,False,null
Bloons TD 6,What did it cost? - Everything:,Sacrifice every tower type in the game to the Temple,False,null
Bloons TD 6,2 MegaPops,Complete a game of CHIMPS with more than 2 million damage dealt by one tower,False,null
Bloons TD 6,A Crate Time,Open a Diamond Crate in any Collection Event,False,null
Bloons TD 6,Axis of Havoc,Have one of each T5 sniper in one game of CHIMPS,False,null
Bloons TD 6,Tower Keeper,Have 200 insta-monkeys in your inventory at one time,False,null
Bloons TD 6,A year in the making,Open the Daily Chest 365 times,False,null
Bloons TD 6,Kali Maaaaaaaa,Gain 10 levels for Adora in one round,False,null
Bloons TD 6,Golden Ticket,no description available,False,null
Bloons TD 6,Adventurer,Complete an Odyssey,False,null
Bloons TD 6,Seasoned Adventurer,Complete a Hard Odyssey,False,null
Bloons TD 6,No Stone Left Unturned,Complete all 3 difficulties of a single Odyssey,False,null
Bloons TD 6,12 Tasks of Monk-ules,Complete 12 different Odysseys,False,null
Bloons TD 6,Modysseus Rises,Complete 50 Odysseys,False,null
Bloons TD 6,Modysseus Forever,Complete 100 Odysseys,False,null
Bloons TD 6,Full Speed Ahead!,Complete an Odyssey in under 1 hour,False,null
Bloons TD 6,All About That Bling,Purchase a Trophy Store item,False,null
Bloons TD 6,"Mo Heroes, Mo Problems",no description available,False,null
Bloons TD 6,Chunky Monkeys,no description available,False,null
Bloons TD 6,Oathbreakers,"Reanimate 250,000 bloons to fight on your side using the Necromancer Wizard",False,null
Bloons TD 6,Living on the Edge,Win any non-CHIMPS/Impoppable game with only 1 life remaining,False,null
Bloons TD 6,Freaky Friday,Use the Alchemist's Transforming Tonic abilities 100 times,False,null
Bloons TD 6,Monkey Fan Club,Create or Login to your Ninja Kiwi account to cloud save your progress,True,2020-12-31 16:25:44
Bloons TD 6,Ready Player One?,Host and win 10 Co-op games,True,2021-07-21 15:28:32
Bloons TD 6,Crash of the Titans,Strip the fortifications from Fortified DDTs 3000 times,False,null
Bloons TD 6,A La Code,Submit a Challenge to the Challenge Browser,False,null
Bloons TD 6,Regifted,"Pop 1,000,000 Bloons with Dartling Gunners",False,null
Bloons TD 6,Coupon Crazy,Spend at least 50 Trophies in the Trophy Store,False,null
Bloons TD 6,Instant Gratification,"Use a Tier 5 Insta Monkey. NOTE: even after being used, Instas still count toward your collection!",False,null
Bloons TD 6,Insta Century,Use 100 Insta Monkeys,False,null
Bloons TD 6,Limited Run,Purchase at least 1 new Limited Time item in the Trophy Store,False,null
Bloons TD 6,Tools to Darwin,"Upgrade towers 20,000 times",False,null
Bloons TD 6,Stubborn Strategy,no description available,False,null
Bloons TD 6,Achievement of Achievements,Collect 35 achievements,True,2021-07-21 15:28:30
Bloons TD 6,"Hook, Line, and Sinker","Rope in 3,000 MOAB-Class Bloons using the MOAB takedown ability",False,null
Bloons TD 6,Moving House,"Redeploy 1,000 monkey towers using the Support Chinook",False,null
Bloons TD 6,Social Butterfly,Use emotes 100 times in co-op games,False,null
Bloons TD 6,So Shiny!,Pop 20 Golden Bloons,False,null
Bloons TD 6,Glittering Gold,Pop 100 Golden Bloons,False,null
Bloons TD 6,Glorious Gold,Pop 500 Golden Bloons,False,null
Bloons TD 6,Magical Gold,Pop 50 Golden Bloons in Magic Monkeys only mode,False,null
Bloons TD 6,Team Player,Win 25 times with Monkey Teams,False,null
Bloons TD 6,Team Captain,Win 50 times with Monkey Teams,False,null
Bloons TD 6,Ultimate Team-up,Win 100 times with Monkey Teams,False,null
Bloons TD 6,What is this new Bloonery?,Defeat a Tier 1 Boss,True,2023-07-20 15:22:23
Bloons TD 6,Who's the Boss?,Defeat a Tier 5 Boss,False,null
Bloons TD 6,I'm the Boss,Defeat a Tier 5 Elite Boss,False,null
Bloons TD 6,Apotheosis,Upgrade to a Monkey Paragon Tower,True,2023-07-18 19:55:58
Bloons TD 6,Like a Boss,Pop 50 Boss Bloons,False,null
Bloons TD 6,Perfect Paragon,no description available,False,null
Bloons TD 6,Davids vs Goliath,Win a boss battle without using a Hero,False,null
Bloons TD 6,So Spiiicey Ninja Kiwi,Beat Spice Islands on Alternate Bloon Rounds with only land towers,False,null
Bloons TD 6,No Harvest,Beat Cornfield on CHIMPs without removing any corn,False,null
Bloons TD 6,Student Loans,"4 x 10^5 (Go into $400,000 of debt)",False,null
Bloons TD 6,Not Lacking Critical Information,no description available,False,null
Bloons TD 6,Sticky Situation,"Glue 500,000 Bloons",False,null
Bloons TD 6,Big Spender,"Spend 1,000,000 cash in one round",False,null
Bloons TD 6,The Daily Reid,Win 365 unique daily challenges,False,null
Bloons TD 6,I'll Be Back,"Spend 1,000 MM on Continues or Checkpoints",False,null
Bloons TD 6,Conquested Territory,Capture 5 tiles off other players,False,null
Bloons TD 6,Stage of Empires,Capture 50 tiles,False,null
Bloons TD 6,Territory Sampler,"Capture 1 of each: Boss, Time Attack, Least Tiers and Least Cash tiles",False,null
Bloons TD 6,Invigoration,Have 75 buffs active on your Monkeys at once,True,2023-07-20 15:22:25
Bloons TD 6,Side Quest,Complete a Quest,False,null
Bloons TD 6,World League Training,"Acquire 150,000 Beast Handler XP",False,null
Bloons TD 6,Life Experience,"Earn 5,368,709 experience for any tower",False,null
Bloons TD 6,Heavy Investment,"Invest at least $401,626 extra when creating any Paragon",False,null
Bloons TD 6,25 to Life,Defeat 5 unique Bosses at Tier 5 (Can be in Boss Event or Challenge Mode),False,null
Bloons TD 6,Community Connoisseur,"Win 100 different community submissions (Challenges, Odysseys, Maps)",False,null
Apex Legends,The Player,Reach player level 50,False,null
Apex Legends,Decked Out,Equip any 2 legendary equipment items at the same time,False,null
Apex Legends,Team Player,Respawn a teammate,True,2021-04-15 13:32:56
Apex Legends,Fully Kitted,Equip a fully kitted weapon,True,2021-04-17 15:45:47
Apex Legends,Jumpmaster,Be the Jumpmaster 5 times,True,2021-04-17 15:18:25
Apex Legends,Well-Rounded,"Deal 5,000 damage with 8 different Legends",False,null
Apex Legends,Kill Leader,Become the Kill Leader,False,null
Apex Legends,Apex Assault,Win a game as an assault character,False,null
Apex Legends,Apex Controller,Win a game as a controller character,False,null
Apex Legends,Apex Support,Win a game as a support character,False,null
Apex Legends,Apex Recon,Win a game as a recon character,True,2021-04-15 13:48:05
Apex Legends,Apex Legend,Win a game with 8 different Legends,False,null
Scribble It!,Art Intern,Win a game in any game mode.,False,null
Scribble It!,Junior Artist,Win 25 games in any game mode.,False,null
Scribble It!,Senior Artist,Win 100 games in any game mode.,False,null
Scribble It!,First Sketch,Win a game in Guess It! - Classic.,False,null
Scribble It!,Scribble Routinier,Win 10 games in Guess It! - Classic.,False,null
Scribble It!,Scribble Veteran,Win 50 games in Guess It! - Classic.,False,null
Scribble It!,Got It!,Win a game in Guess It! - Grand Reveal.,False,null
Scribble It!,It's a guessing game...,Win 10 games in Guess It! - Grand Reveal.,False,null
Scribble It!,Guess what?!,Win 50 games in Guess It! - Grand Reveal.,False,null
Scribble It!,First Prize!,Win a game in Rate It!.,False,null
Scribble It!,Medal Magnet!,Win 10 games in Rate It!.,False,null
Scribble It!,11 out of 10!,Win 50 games in Rate It!.,False,null
Scribble It!,Vermeer,no description available,False,null
Scribble It!,Dalí,no description available,False,null
Scribble It!,Michelangelo,no description available,False,null
Scribble It!,Shape Novice!,Scribble a picture by using only one single type of shape so everyone guesses it correctly with at least 4 players.,False,null
Scribble It!,Rainbow!,Scribble a picture using at least 6 different colors so everyone guesses it correctly.,False,null
Scribble It!,Double Rainbow!,Scribble a picture using at least 12 different colors so everyone guesses it correctly.,False,null
Scribble It!,Rainbow Master!,Have an average of 6 used colors after at least 25 games.,False,null
Scribble It!,Self Portrait,Change your avatar in your profile.,False,null
Scribble It!,You tried your best!,Draw something no one can guess.,True,2021-05-24 22:01:38
Scribble It!,Facepalm,Be the only one who doesn't guess the word with at least 4 players.,True,2021-05-24 22:02:36
Scribble It!,First words,Publish your first word package.,False,null
Scribble It!,A true writer!,Publish 10 word packages.,False,null
Scribble It!,Holy words,Get 50 upvotes on a single word package.,False,null
